Direction;StartTime;StartPrice;EndPrice;LineLength;AvgDiff;ImpulseDiff;PrevLineLength;MaxDeviation;Duration;Angle;Session
SELL;11:30:00;1.11366;1.08956;241;0.0622;0.2018;1.6327;0.8148;9210;1.57003;1
BUY;19:30:00;1.07972;1.0972;175;0.041;0.5809;-165.1515;0.7509;11280;0.93085;2
SELL;03:30:00;1.09152;1.07223;193;0.0435;0.1603;-54.4;0.6901;10935;1.05898;0
SELL;11:45:00;1.12057;1.08139;392;0.0465;0.5783;-390;0.5892;24750;0.9503;1
BUY;15:30:00;1.03282;1.05093;181;0.0844;0.4664;-229.0909;0.5959;2940;3.69388;1
SELL;11:15:00;1.09522;1.07348;217;0.064;0.2196;-68.2171;0.5566;12360;1.0534;1
BUY;00:15:00;1.08152;1.11196;304;0.1863;0.5846;-328.169;0.469;1035;17.62319;0
SELL;23:15:00;1.14236;1.12679;156;0.0827;0.5019;-59.1837;0.5663;4035;2.3197;2
SELL;17:15:00;1.12869;1.10676;219;0.1031;0.3914;-151.7241;1.2106;4560;2.88158;2
BUY;21:15:00;1.10676;1.1259;191;0.0765;0.7297;12.7854;0.5834;2355;4.86624;2
SELL;17:00:00;1.16094;1.14516;158;0.0709;0.2852;-39.823;0.488;3615;2.62241;2
SELL;13:15:00;1.15875;1.14029;185;0.0753;0.5327;-230.3571;0.8176;2085;5.32374;1
SELL;20:30:00;1.17404;1.15794;161;0.0562;0.1571;-2.5478;0.5739;6795;1.42163;2
BUY;13:45:00;1.15794;1.17352;156;0.0546;0.1808;3.1056;0.3226;7080;1.32203;1
BUY;10:15:00;1.16179;1.17785;161;0.0548;0.141;-168.3333;0.3701;8550;1.12982;1
BUY;21:45:00;1.08475;1.10937;246;0.1134;0.7418;-251.4286;1.1766;2760;5.34783;2
BUY;08:30:00;1.09453;1.11821;237;0.0828;0.256;-163.3333;0.6006;4065;3.49815;0
SELL;04:15:00;1.11821;1.08381;344;0.0667;0.3813;-45.1477;0.5514;12255;1.68421;0
SELL;10:45:00;1.09272;1.0492;435;0.082;0.5119;-170.1863;1.1085;9945;2.62443;1
BUY;19:45:00;1.03578;1.05621;204;0.0788;0.1724;12.069;1.1326;7635;1.60314;2
SELL;19:45:00;1.07862;1.06283;158;0.0759;0.9552;-79.5455;0.8838;2805;3.37968;2
SELL;03:45:00;1.02867;1.01303;156;0.0991;0.6743;-18.1818;0.6499;2280;4.10526;0
SELL;03:00:00;1.00492;0.98324;217;0.0972;0.7675;-126.0417;0.7353;2520;5.16667;0
SELL;13:00:00;1.04936;1.03197;174;0.1048;0.1123;-16;0.1581;2160;4.83333;1
SELL;19:45:00;1.07104;1.05265;184;0.0735;0.3947;-36.2963;1.3276;5370;2.05587;2
BUY;05:45:00;1.05294;1.07346;205;0.0794;0.2051;-25;0.5701;7485;1.64329;0
BUY;18:30:00;1.05226;1.09248;402;0.0776;0.3125;-71.0638;1.2938;10980;2.19672;2
SELL;09:30:00;1.09248;1.07257;199;0.0897;1.0558;50.4975;0.8835;1635;7.30275;1
SELL;14:00:00;1.10504;1.07613;289;0.0504;0.1245;-270.5128;0.623;15450;1.12233;1
BUY;07:15:00;1.08339;1.12717;438;0.0569;0.2807;-376.087;0.4622;17445;1.50645;0
SELL;10:00:00;1.12717;1.10269;245;0.0584;0.2509;44.0639;0.7002;10455;1.40603;1
BUY;10:45:00;1.07712;1.09448;174;0.0593;0.6508;-70.5882;1.1799;7560;1.38095;1
SELL;16:45:00;1.09448;1.06917;253;0.0525;0.2299;-45.4023;0.2523;11520;1.31771;1
SELL;03:15:00;1.10129;1.07358;277;0.0616;0.5839;-74.2138;0.5304;13725;1.21093;0
BUY;16:00:00;1.07358;1.1005;269;0.0642;0.3395;2.8881;1.6866;8835;1.82683;1
BUY;19:30:00;1.07972;1.0972;175;0.041;0.5809;-98.8636;0.7509;11280;0.93085;2
SELL;10:00:00;1.09395;1.0725;214;0.0375;0.0988;-107.767;0.4784;17250;0.74435;1
SELL;11:45:00;1.12057;1.07631;443;0.0442;0.2209;-453.75;0.5546;33300;0.7982;1
SELL;20:15:00;1.09354;1.07128;223;0.1532;0.855;-116.5049;0.9527;735;18.20408;2
SELL;15:30:00;1.06169;1.04563;161;0.0672;0.1262;-7.3333;0.4872;9705;0.99536;1
SELL;14:00:00;1.04573;1.02458;212;0.073;0.9704;-98.1308;1.0175;4590;2.77124;1
SELL;15:15:00;1.04356;1.01868;249;0.0702;0.5262;-31.0526;0.4997;9840;1.51829;1
BUY;11:15:00;1.01868;1.03444;158;0.0755;0.5909;36.5462;0.4651;3150;3.00952;1
BUY;14:30:00;1.02645;1.04293;165;0.0823;0.4919;-106.25;1.251;6210;1.5942;1
BUY;00:45:00;1.02902;1.05093;219;0.0647;0.4664;-62.2222;0.9254;6705;1.95973;0
BUY;20:30:00;1.07658;1.09439;178;0.0878;0.2607;-143.8356;0.847;7230;1.47718;2
