Direction;StartPrice;EndPrice;LineLength;AvgDiff;ImpulseDiff;PrevLineLength;MaxDeviation;MaxImpulse;Duration;Angle
SELL;1.04611;1.00773;384;0.088;0.9997;-336.3636;0.8764;1.0452;5550;4.15135
SELL;1.00427;0.98754;167;0.0996;0.6723;-145.5882;0.7153;0.8536;5835;1.71722
BUY;0.97354;1.00929;358;0.1068;1.0136;-71.2919;0.9433;1.3951;7590;2.83004
BUY;1.02986;1.05418;243;0.1163;0.3068;-153.125;0.1332;1.045;2685;5.43017
SELL;1.10008;1.07613;239;0.0505;0.1885;-334.5455;0.6041;0.8467;12465;1.15042
BUY;1.06696;1.09668;297;0.0535;0.315;-182.8571;1.1326;0.6784;13260;1.34389
BUY;1.07715;1.09448;173;0.0559;0.7271;-188.3333;1.1625;0.3298;7140;1.45378
BUY;1.05241;1.07542;230;0.0617;0.2308;-59.7222;0.1934;1.1172;6885;2.00436
BUY;1.06616;1.08908;229;0.0555;0.5153;-269.3548;1.1362;0.5211;9825;1.39847
BUY;1.0892;1.11366;245;0.0498;0.3147;-116.8142;0.8251;0.1873;18135;0.81059
SELL;1.12057;1.08139;392;0.0465;0.5783;-390;0.5892;1.4032;24750;0.9503
BUY;1.03282;1.05093;181;0.0844;0.5056;-229.0909;0.5959;0.8214;2940;3.69388
SELL;1.09522;1.07348;217;0.064;0.3525;-68.2171;0.5566;0.748;12360;1.0534
BUY;1.08152;1.11196;304;0.1863;1.1006;-328.169;0.469;0.953;1035;17.62319
SELL;1.12869;1.10676;219;0.1031;0.6035;-151.7241;1.2106;0.2265;4560;2.88158
SELL;1.16094;1.14516;158;0.0709;0.3287;-39.823;0.488;0.5141;3615;2.62241
SELL;1.15875;1.14029;185;0.0753;0.8836;-230.3571;0.8176;0.4674;2085;5.32374
SELL;1.17404;1.15794;161;0.0562;0.4043;-2.5478;0.5739;0.2854;6795;1.42163
BUY;1.16179;1.17785;161;0.0548;0.141;-168.3333;0.3701;0.6832;8550;1.12982
BUY;1.08475;1.10937;246;0.1134;1.0109;-251.4286;1.1766;0.1947;2760;5.34783
